Species,longitude,latitude
Helianthus angustifolius,-90.18,30.52
Helianthus angustifolius,-78.14,34.03
Helianthus angustifolius,-94.44,33.46
Helianthus angustifolius,-88.64,30.41
Helianthus angustifolius,-86.47,34.64
Helianthus angustifolius,-73.91,40.68
Helianthus angustifolius,-92.43,34.75
Helianthus angustifolius,-95.63,29.37
Helianthus angustifolius,-95.48,29.48
Helianthus angustifolius,-89.86,34.07
Helianthus angustifolius,-85.21,30.19
Helianthus angustifolius,-95.45,29.77
Helianthus angustifolius,-88.09,30.25
Helianthus angustifolius,-95.45,29.76
Helianthus angustifolius,-93.12,34.3
Helianthus angustifolius,-87.03,33.16
Helianthus angustifolius,-78.31,35.37
Helianthus angustifolius,-77.68,34.36
Helianthus angustifolius,-86.7,31.97
Helianthus angustifolius,-81.56,26.46
Helianthus angustifolius,-86.94,30.85
Helianthus angustifolius,-95.21,29.93
Helianthus angustifolius,-88.63,30.38
Helianthus angustifolius,-78.46,34.06
Helianthus angustifolius,-82.37,27.4
Helianthus angustifolius,-94.38,30.58
Helianthus angustifolius,-81.56,26.45
Helianthus angustifolius,-88.65,30.45
Helianthus angustifolius,-84.96,30.04
Helianthus angustifolius,-94.95,29.46
Helianthus angustifolius,-84.92,30.19
Helianthus angustifolius,-93.16,30.94
Helianthus angustifolius,-94.76,29.53
Helianthus angustifolius,-95.22,29.44
Helianthus angustifolius,-95.45,29.76
Helianthus angustifolius,-94.95,29.46
Helianthus angustifolius,-94.39,29.8
Helianthus angustifolius,-94.39,29.8
Helianthus angustifolius,-95.35,29.16
Helianthus angustifolius,-95.45,29.71
Helianthus angustifolius,-85.65,34.17
Helianthus angustifolius,-85.13,35.59
Helianthus angustifolius,-85.65,34.17
Helianthus angustifolius,-81.26,29.64
Helianthus angustifolius,-94.95,29.46
Helianthus angustifolius,-85.13,35.59
Helianthus angustifolius,-79.32,35.47
Helianthus angustifolius,-96.27,29.75
Helianthus angustifolius,-94.97,29.35
Helianthus angustifolius,-87.16,36.64
Helianthus angustifolius,-94.96,29.46
Helianthus angustifolius,-95.6,29.25
Helianthus angustifolius,-88.78,33.27
Helianthus angustifolius,-93.2,30.26
Helianthus angustifolius,-89.67,30.5
Helianthus angustifolius,-88.66,30.45
Helianthus angustifolius,-89.4,31.34
Helianthus angustifolius,-84.79,36.08
Helianthus angustifolius,-89.4,31.35
Helianthus angustifolius,-88.65,30.45
Helianthus angustifolius,-92.34,34.57
Helianthus angustifolius,-94,35.33
Helianthus angustifolius,-92.22,32.68
Helianthus angustifolius,-86.77,31.48
Helianthus angustifolius,-88.81,37.13
Helianthus angustifolius,-85.47,32.02
Helianthus angustifolius,-86.58,32.45
Helianthus angustifolius,-74.5,40.52
Helianthus angustifolius,-89.72,33.74
Helianthus angustifolius,-95.48,29.05
Helianthus angustifolius,-75.83,36.39
Helianthus angustifolius,-80.22,34.51
Helianthus angustifolius,-80.09,34.57
Helianthus angustifolius,-76.94,39.03
Helianthus angustifolius,-88.77,35.39
Helianthus angustifolius,-81.01,35.12
Helianthus angustifolius,-95.45,29.66
Helianthus angustifolius,-95.11,29.67
Helianthus angustifolius,-95.45,29.67
Helianthus angustifolius,-95.45,29.7
Helianthus angustifolius,-95.45,29.7
Helianthus angustifolius,-84.72,36.1
Helianthus angustifolius,-88.62,36.24
Helianthus angustifolius,-92.46,34.82
Helianthus angustifolius,-94.31,30.36
Helianthus angustifolius,-86.48,32.45
Helianthus angustifolius,-92.02,30.1
Helianthus angustifolius,-88.11,30.72
Helianthus angustifolius,-89.55,34.66
Helianthus angustifolius,-86.94,31.44
Helianthus angustifolius,-87.68,31.02
Helianthus angustifolius,-89.25,32.15
Helianthus angustifolius,-92.35,34.7
Helianthus angustifolius,-89.17,31.51
Helianthus angustifolius,-88.71,30.38
Helianthus angustifolius,-90.21,32.46
